index,time,lat,lon,tempanomaly
414,2023-03-15,-85.00,-71.00,1.35
415,2023-03-15,-85.00,-69.00,1.35
416,2023-03-15,-85.00,-67.00,1.35
417,2023-03-15,-85.00,-65.00,1.35
418,2023-03-15,-85.00,-63.00,1.35
419,2023-03-15,-85.00,-61.00,1.35
420,2023-03-15,-85.00,-59.00,1.35
421,2023-03-15,-85.00,-57.00,1.35
422,2023-03-15,-85.00,-55.00,1.35
423,2023-03-15,-85.00,-53.00,1.35
424,2023-03-15,-85.00,-51.00,1.35
425,2023-03-15,-85.00,-49.00,1.35
426,2023-03-15,-85.00,-47.00,1.35
427,2023-03-15,-85.00,-45.00,1.35
428,2023-03-15,-85.00,-43.00,1.35
429,2023-03-15,-85.00,-41.00,1.35
430,2023-03-15,-85.00,-39.00,1.35
431,2023-03-15,-85.00,-37.00,1.35
432,2023-03-15,-85.00,-35.00,1.35
433,2023-03-15,-85.00,-33.00,1.35
434,2023-03-15,-85.00,-31.00,1.35
435,2023-03-15,-85.00,-29.00,1.35
436,2023-03-15,-85.00,-27.00,1.35
437,2023-03-15,-85.00,-25.00,1.35
438,2023-03-15,-85.00,-23.00,1.35
439,2023-03-15,-85.00,-21.00,1.35
440,2023-03-15,-85.00,-19.00,1.35
441,2023-03-15,-85.00,-17.00,1.35
442,2023-03-15,-85.00,-15.00,1.35
443,2023-03-15,-85.00,-13.00,1.35
444,2023-03-15,-85.00,-11.00,1.35
445,2023-03-15,-85.00,-9.00,1.35
446,2023-03-15,-85.00,-7.00,1.35
447,2023-03-15,-85.00,-5.00,1.35
448,2023-03-15,-85.00,-3.00,1.35
449,2023-03-15,-85.00,-1.00,1.35
450,2023-03-15,-85.00,1.00,1.35
451,2023-03-15,-85.00,3.00,1.35
452,2023-03-15,-85.00,5.00,1.35
453,2023-03-15,-85.00,7.00,1.35
454,2023-03-15,-85.00,9.00,1.35
455,2023-03-15,-85.00,11.00,1.35
456,2023-03-15,-85.00,13.00,1.35
457,2023-03-15,-85.00,15.00,1.35
458,2023-03-15,-85.00,17.00,1.35
459,2023-03-15,-85.00,19.00,1.35
460,2023-03-15,-85.00,21.00,1.35
461,2023-03-15,-85.00,23.00,1.35
462,2023-03-15,-85.00,25.00,1.35
463,2023-03-15,-85.00,27.00,1.35
464,2023-03-15,-85.00,29.00,1.35
465,2023-03-15,-85.00,31.00,1.35
466,2023-03-15,-85.00,33.00,1.35
467,2023-03-15,-85.00,35.00,1.35
468,2023-03-15,-85.00,37.00,1.35
469,2023-03-15,-85.00,39.00,1.35
470,2023-03-15,-85.00,41.00,1.35
471,2023-03-15,-85.00,43.00,1.35
472,2023-03-15,-85.00,45.00,1.35
473,2023-03-15,-85.00,47.00,1.35
474,2023-03-15,-85.00,49.00,1.35
475,2023-03-15,-85.00,51.00,1.35
476,2023-03-15,-85.00,53.00,1.35
477,2023-03-15,-85.00,55.00,1.35
478,2023-03-15,-85.00,57.00,1.35
479,2023-03-15,-85.00,59.00,1.35
480,2023-03-15,-85.00,61.00,1.35
481,2023-03-15,-85.00,63.00,1.35
482,2023-03-15,-85.00,65.00,1.35
483,2023-03-15,-85.00,67.00,1.35
484,2023-03-15,-85.00,69.00,1.35
485,2023-03-15,-85.00,71.00,1.35
486,2023-03-15,-85.00,73.00,1.35
487,2023-03-15,-85.00,75.00,1.35
488,2023-03-15,-85.00,77.00,1.35
489,2023-03-15,-85.00,79.00,1.35
490,2023-03-15,-85.00,81.00,1.35
491,2023-03-15,-85.00,83.00,1.35
492,2023-03-15,-85.00,85.00,1.35
493,2023-03-15,-85.00,87.00,1.35
494,2023-03-15,-85.00,89.00,1.35
495,2023-03-15,-85.00,91.00,1.35
496,2023-03-15,-85.00,93.00,1.35
497,2023-03-15,-85.00,95.00,1.35
498,2023-03-15,-85.00,97.00,1.35
499,2023-03-15,-85.00,99.00,1.35
500,2023-03-15,-85.00,101.00,1.35
501,2023-03-15,-85.00,103.00,1.35
502,2023-03-15,-85.00,105.00,1.35
503,2023-03-15,-85.00,107.00,1.35
504,2023-03-15,-85.00,109.00,1.35
505,2023-03-15,-85.00,111.00,1.35
506,2023-03-15,-85.00,113.00,1.35
507,2023-03-15,-85.00,115.00,1.35
508,2023-03-15,-85.00,117.00,1.35
509,2023-03-15,-85.00,119.00,1.35
510,2023-03-15,-85.00,121.00,1.35
511,2023-03-15,-85.00,123.00,1.35
512,2023-03-15,-85.00,125.00,1.35
513,2023-03-15,-85.00,127.00,1.35
514,2023-03-15,-85.00,129.00,1.35
515,2023-03-15,-85.00,131.00,1.35
516,2023-03-15,-85.00,133.00,1.35
517,2023-03-15,-85.00,135.00,1.35
518,2023-03-15,-85.00,137.00,1.35
519,2023-03-15,-85.00,139.00,1.35
520,2023-03-15,-85.00,141.00,1.35
521,2023-03-15,-85.00,143.00,1.35
522,2023-03-15,-85.00,145.00,1.35
523,2023-03-15,-85.00,147.00,1.35
524,2023-03-15,-85.00,149.00,1.35
525,2023-03-15,-85.00,151.00,1.35
526,2023-03-15,-85.00,153.00,1.35
527,2023-03-15,-85.00,155.00,1.35
528,2023-03-15,-85.00,157.00,1.35
529,2023-03-15,-85.00,159.00,1.35
530,2023-03-15,-85.00,161.00,1.35
531,2023-03-15,-85.00,163.00,1.35
532,2023-03-15,-85.00,165.00,1.35
533,2023-03-15,-85.00,167.00,1.35
534,2023-03-15,-85.00,169.00,1.35
535,2023-03-15,-85.00,171.00,1.35
536,2023-03-15,-85.00,173.00,1.35
537,2023-03-15,-85.00,175.00,1.35
538,2023-03-15,-85.00,177.00,1.35
539,2023-03-15,-85.00,179.00,1.35
540,2023-03-15,-83.00,-179.00,1.35
541,2023-03-15,-83.00,-177.00,1.35
542,2023-03-15,-83.00,-175.00,1.35
543,2023-03-15,-83.00,-173.00,1.35
544,2023-03-15,-83.00,-171.00,1.35
545,2023-03-15,-83.00,-169.00,1.35
546,2023-03-15,-83.00,-167.00,1.35
547,2023-03-15,-83.00,-165.00,1.35
548,2023-03-15,-83.00,-163.00,1.35
549,2023-03-15,-83.00,-161.00,1.35
550,2023-03-15,-83.00,-159.00,1.35
551,2023-03-15,-83.00,-157.00,1.35
552,2023-03-15,-83.00,-155.00,1.35
553,2023-03-15,-83.00,-153.00,1.35
554,2023-03-15,-83.00,-151.00,1.35
555,2023-03-15,-83.00,-149.00,1.35
556,2023-03-15,-83.00,-147.00,1.35
557,2023-03-15,-83.00,-145.00,1.35
558,2023-03-15,-83.00,-143.00,1.35
559,2023-03-15,-83.00,-141.00,1.35
560,2023-03-15,-83.00,-139.00,1.35
561,2023-03-15,-83.00,-137.00,1.35
562,2023-03-15,-83.00,-135.00,1.35
563,2023-03-15,-83.00,-133.00,1.35
564,2023-03-15,-83.00,-131.00,1.35
565,2023-03-15,-83.00,-129.00,1.35
566,2023-03-15,-83.00,-127.00,1.35
567,2023-03-15,-83.00,-125.00,1.35
568,2023-03-15,-83.00,-123.00,1.35
569,2023-03-15,-83.00,-121.00,1.35
570,2023-03-15,-83.00,-119.00,1.35
571,2023-03-15,-83.00,-117.00,1.35
572,2023-03-15,-83.00,-115.00,1.35
573,2023-03-15,-83.00,-113.00,1.35
574,2023-03-15,-83.00,-111.00,1.35
575,2023-03-15,-83.00,-109.00,1.35
576,2023-03-15,-83.00,-107.00,1.35
577,2023-03-15,-83.00,-105.00,1.35
578,2023-03-15,-83.00,-103.00,1.35
579,2023-03-15,-83.00,-101.00,1.35
580,2023-03-15,-83.00,-99.00,1.35
581,2023-03-15,-83.00,-97.00,1.35
582,2023-03-15,-83.00,-95.00,1.35
583,2023-03-15,-83.00,-93.00,1.35
584,2023-03-15,-83.00,-91.00,1.35
585,2023-03-15,-83.00,-89.00,1.35
586,2023-03-15,-83.00,-87.00,1.35
587,2023-03-15,-83.00,-85.00,1.35
588,2023-03-15,-83.00,-83.00,1.35
589,2023-03-15,-83.00,-81.00,1.35
590,2023-03-15,-83.00,-79.00,1.35
591,2023-03-15,-83.00,-77.00,1.35
592,2023-03-15,-83.00,-75.00,1.35
593,2023-03-15,-83.00,-73.00,1.35
594,2023-03-15,-83.00,-71.00,1.35
595,2023-03-15,-83.00,-69.00,1.35
596,2023-03-15,-83.00,-67.00,1.35
597,2023-03-15,-83.00,-65.00,1.35
598,2023-03-15,-83.00,-63.00,1.35
599,2023-03-15,-83.00,-61.00,1.35
600,2023-03-15,-83.00,-59.00,1.35
601,2023-03-15,-83.00,-57.00,1.35
602,2023-03-15,-83.00,-55.00,1.35
603,2023-03-15,-83.00,-53.00,1.35
604,2023-03-15,-83.00,-51.00,1.35
605,2023-03-15,-83.00,-49.00,1.35
606,2023-03-15,-83.00,-47.00,1.35
607,2023-03-15,-83.00,-45.00,1.35
608,2023-03-15,-83.00,-43.00,1.35
609,2023-03-15,-83.00,-41.00,1.35
610,2023-03-15,-83.00,-39.00,1.35
611,2023-03-15,-83.00,-37.00,1.35
612,2023-03-15,-83.00,-35.00,1.35
613,2023-03-15,-83.00,-33.00,1.35
614,2023-03-15,-83.00,-31.00,1.35
615,2023-03-15,-83.00,-29.00,1.35
