year,area,period,anomaly
1958,SH,Feb,0.16
1959,SH,Feb,-0.02
1960,SH,Feb,-0.15
1961,SH,Feb,0.08
1962,SH,Feb,-0.07
1963,SH,Feb,-0.14
1964,SH,Feb,-0.17
1965,SH,Feb,0.02
1966,SH,Feb,-0.12
1967,SH,Feb,-0.04
1968,SH,Feb,-0.13
1969,SH,Feb,0.11
1970,SH,Feb,0.17
1971,SH,Feb,-0.1
1972,SH,Feb,0.17
1973,SH,Feb,0.21
1974,SH,Feb,-0.18
1975,SH,Feb,0.06
1976,SH,Feb,-0.01
1977,SH,Feb,0.34
1978,SH,Feb,0.16
1979,SH,Feb,0.16
1980,SH,Feb,0.38
1981,SH,Feb,0.22
1982,SH,Feb,0.15
1983,SH,Feb,0.51
1984,SH,Feb,0.26
1985,SH,Feb,0.22
1986,SH,Feb,0.42
1987,SH,Feb,0.36
1988,SH,Feb,0.43
1989,SH,Feb,0.19
1990,SH,Feb,0.33
1991,SH,Feb,0.42
1992,SH,Feb,0.3
1993,SH,Feb,0.21
1994,SH,Feb,0.1
1995,SH,Feb,0.38
1996,SH,Feb,0.37
1997,SH,Feb,0.21
1998,SH,Feb,0.72
1999,SH,Feb,0.27
2000,SH,Feb,0.21
2001,SH,Feb,0.41
2002,SH,Feb,0.42
2003,SH,Feb,0.6
2004,SH,Feb,0.52
2005,SH,Feb,0.48
2006,SH,Feb,0.5
2007,SH,Feb,0.49
2008,SH,Feb,0.16
2009,SH,Feb,0.35
2010,SH,Feb,0.73
2011,SH,Feb,0.4
2012,SH,Feb,0.39
2013,SH,Feb,0.45
2014,SH,Feb,0.38
2015,SH,Feb,0.61
2016,SH,Feb,0.78
2017,SH,Feb,0.74
2018,SH,Feb,0.44
2019,SH,Feb,0.77
2020,SH,Feb,0.76
2021,SH,Feb,0.31
2022,SH,Feb,0.6
2023,SH,Feb,0.62
1880,GLB,Mar,-0.08
1881,GLB,Mar,0.04
1882,GLB,Mar,0.05
1883,GLB,Mar,-0.12
1884,GLB,Mar,-0.36
1885,GLB,Mar,-0.26
1886,GLB,Mar,-0.43
1887,GLB,Mar,-0.35
1888,GLB,Mar,-0.41
1889,GLB,Mar,0.07
1890,GLB,Mar,-0.4
1891,GLB,Mar,-0.18
1892,GLB,Mar,-0.4
1893,GLB,Mar,-0.22
1894,GLB,Mar,-0.22
1895,GLB,Mar,-0.32
1896,GLB,Mar,-0.26
1897,GLB,Mar,-0.13
1898,GLB,Mar,-0.51
1899,GLB,Mar,-0.36
1900,GLB,Mar,0.01
1901,GLB,Mar,0.06
1902,GLB,Mar,-0.27
1903,GLB,Mar,-0.22
1904,GLB,Mar,-0.48
1905,GLB,Mar,-0.21
1906,GLB,Mar,-0.18
1907,GLB,Mar,-0.27
1908,GLB,Mar,-0.55
1909,GLB,Mar,-0.54
1910,GLB,Mar,-0.5
1911,GLB,Mar,-0.61
1912,GLB,Mar,-0.38
1913,GLB,Mar,-0.42
1914,GLB,Mar,-0.24
1915,GLB,Mar,-0.1
1916,GLB,Mar,-0.28
1917,GLB,Mar,-0.63
1918,GLB,Mar,-0.24
1919,GLB,Mar,-0.21
1920,GLB,Mar,-0.12
1921,GLB,Mar,-0.23
1922,GLB,Mar,-0.15
1923,GLB,Mar,-0.34
1924,GLB,Mar,-0.08
1925,GLB,Mar,-0.27
1926,GLB,Mar,0.11
1927,GLB,Mar,-0.38
1928,GLB,Mar,-0.25
1929,GLB,Mar,-0.32
1930,GLB,Mar,-0.11
1931,GLB,Mar,-0.1
1932,GLB,Mar,-0.17
1933,GLB,Mar,-0.29
1934,GLB,Mar,-0.29
1935,GLB,Mar,-0.14
1936,GLB,Mar,-0.21
1937,GLB,Mar,-0.2
1938,GLB,Mar,0.1
1939,GLB,Mar,-0.17
1940,GLB,Mar,0.09
1941,GLB,Mar,0.1
1942,GLB,Mar,0.05
1943,GLB,Mar,-0.03
1944,GLB,Mar,0.26
1945,GLB,Mar,0.06
1946,GLB,Mar,0.02
1947,GLB,Mar,0.07
1948,GLB,Mar,-0.24
1949,GLB,Mar,-0.02
